country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Latvia,LVA,2019,4.43584013,,98.30753326,,,99.98343658,107.6024628,94.86453247
Least developed countries: UN classification,LDC,2015,3.214390039,61.77787018,69.27496338,38.00919,24.95432,102.0953522,44.35245132,9.518710136
Least developed countries: UN classification,LDC,2016,2.905220032,63.6640892,70.25007629,37.41777,24.75304,102.3095093,45.78105164,9.791870117
Least developed countries: UN classification,LDC,2017,3.52892375,64.59895325,71.23937988,37.10324,24.31458,102.6992111,45.81341934,9.874409676
Least developed countries: UN classification,LDC,2018,3.3229599,64.93852997,72.37299347,37.15033,24.74825,103.6176605,46.60448074,10.35904026
Least developed countries: UN classification,LDC,2019,3.126032233,65.98403931,72.32695007,,,104.4037323,46.63230133,10.88813972
Lebanon,LBN,2015,,,,,,,,38.82075119
Lebanon,LBN,2016,2.126333237,,,12.17537,7.67398,,,42.10900879
Lebanon,LBN,2017,2.137486219,,,12.48274,,,,43.99457932
Lebanon,LBN,2018,2.527220726,93.0,,,,,,47.27510834
Lebanon,LBN,2019,2.600265503,,,,,,,50.3490181
Lesotho,LSO,2015,7.642502308,,79.34463501,33.08664,23.95153,108.8215912,58.58946888,9.687729836
Lesotho,LSO,2016,7.552474022,,81.15354156,33.75653,23.16604,108.1328326,56.66962051,
Lesotho,LSO,2017,7.23117733,,,32.94806,25.34293,109.9726212,59.8201412,10.14649963
Lesotho,LSO,2018,7.402918816,86.24086761,,,,100.6016815,,9.724470139
Lesotho,LSO,2019,7.194068909,,82.85080719,,,96.09326965,,
Liberia,LBR,2015,2.115874767,,,30.44637,18.39079,90.18297391,36.62308121,
Liberia,LBR,2016,2.114796877,,60.80176926,21.52359,,84.15110095,,
Liberia,LBR,2017,2.246325016,48.30136108,57.24401474,22.32254,,79.927302,,
Liberia,LBR,2018,2.413897991,,,,,,,
Liberia,LBR,2019,2.165081978,,,,,,,
Liechtenstein,LIE,2015,,,105.7471313,7.84524,9.90828,105.6654205,116.1234436,33.54204178
Liechtenstein,LIE,2016,,,100.2518921,7.68462,9.65192,105.4910202,116.0283737,35.02262115
Liechtenstein,LIE,2017,,,90.43927765,7.80156,9.55752,104.6997375,117.0943298,35.62192917
Liechtenstein,LIE,2018,,,107.3298416,,,106.3297882,112.0101624,38.30027008
Liechtenstein,LIE,2019,,,94.45909882,,,103.8300095,119.2096634,41.16584015
Lithuania,LTU,2015,4.227190018,,98.67507935,12.86014,7.88976,101.5423431,102.1533432,67.74265289
Lithuania,LTU,2016,4.004310131,,100.6361237,13.22845,7.68762,104.2230988,101.8199081,67.74185181
Lithuania,LTU,2017,3.812200069,,101.5820618,13.51703,7.80821,106.4109497,102.7917786,68.38633728
Lithuania,LTU,2018,3.89289999,,104.108902,,,106.0573807,103.0140228,69.71880341
Lithuania,LTU,2019,3.964099884,,110.2348328,,,104.7060623,103.8806076,70.18486786
Low & middle income,LMY,2015,3.710979939,83.10839081,87.210289,25.04042,18.6707,102.1532669,71.84571838,31.32028961
Low & middle income,LMY,2016,3.767617464,83.50254059,87.92845154,25.49018,18.27281,103.4233017,72.01786804,31.90199089
Low & middle income,LMY,2017,3.765269995,83.72104645,87.7462616,25.39491,18.07721,102.9549866,71.62876129,32.31919098
Low & middle income,LMY,2018,3.642097831,84.05187225,87.8730011,25.44687,18.11664,100.029892,72.28038025,32.74670029
Low & middle income,LMY,2019,3.652369738,84.17989349,87.77368164,,,100.0955276,72.64160919,33.62664032
Low income,LIC,2015,3.35014832,59.74245834,61.99549866,40.13131,22.10181,97.37045288,38.97557068,9.058369637
Low income,LIC,2016,2.934885025,60.42670059,63.16447067,39.76567,21.97853,98.32424164,39.35688019,8.900560379
Low income,LIC,2017,3.349897385,61.48361969,63.90058899,39.80427,21.88316,99.02252197,39.79751968,8.998370171
Low income,LIC,2018,3.38626492,61.45404053,65.04737091,39.82732,22.09153,100.0520325,40.06351089,9.092880249
Low income,LIC,2019,3.526227236,61.52846909,65.63455963,,,101.1113434,40.25022888,9.238349915
Lower middle income,LMC,2015,3.598949909,72.98467255,88.79425049,28.01515,23.48068,103.2598419,64.86257935,21.97286034
Lower middle income,LMC,2016,3.473093152,73.73400116,88.7857666,28.87083,22.55303,105.952507,65.7067337,22.12229919
Lower middle income,LMC,2017,3.733449936,74.26711273,88.72866821,28.62456,22.27369,105.0087509,64.89453125,22.27177048
Lower middle income,LMC,2018,3.178336501,75.07314301,88.69548798,28.87235,22.34035,98.7230835,65.92505646,22.56332016
Lower middle income,LMC,2019,3.413069963,75.24550629,88.34043884,,,98.51193237,66.31005859,23.31785011
Luxembourg,LUX,2015,3.767920017,,80.56880188,8.45773,9.44748,97.4022522,104.3791885,20.29071045
Luxembourg,LUX,2016,4.466115952,,79.01135254,8.30333,8.82794,97.40956879,106.0851974,19.92036057
Luxembourg,LUX,2017,3.48645997,,78.40264893,,,96.73519897,106.7843475,19.59902
Luxembourg,LUX,2018,3.66211009,,76.69661713,,,97.34284973,106.9831238,19.39151955
Luxembourg,LUX,2019,3.736069918,,77.86260223,,,98.33454895,106.9465103,19.39694977
"Macao SAR, China",MAC,2015,3.002470016,,91.78946686,14.08362,11.44466,99.80246735,100.9664383,76.16584015
"Macao SAR, China",MAC,2016,3.099529982,97.0,93.30769348,13.85535,10.66209,101.2873611,99.46366882,79.92500305
"Macao SAR, China",MAC,2017,2.709490061,,106.1052628,13.50974,10.13764,105.3259277,97.42198944,81.26551056
"Macao SAR, China",MAC,2018,2.733409882,,95.6222229,13.49843,9.75724,101.2382584,92.71080017,76.79350281
"Macao SAR, China",MAC,2019,3.065439939,,90.09615326,,,96.24259949,90.66899109,80.09111786
Madagascar,MDG,2015,2.704188347,,67.60498047,41.1927,,142.8891449,37.90689087,4.727519989
Madagascar,MDG,2016,2.697920561,,66.0451355,40.606,,138.5707361,37.81742859,4.761650085
Madagascar,MDG,2017,2.701374054,,64.99119568,,20.04302,143.3683173,36.29988835,5.236249924
Madagascar,MDG,2018,3.049069166,77.0,63.12284851,39.81169,19.29784,136.9360273,35.97891566,5.324389935
Madagascar,MDG,2019,3.013383865,,60.75994492,,,129.2258099,33.93414933,5.534029961
Malawi,MWI,2015,3.444496632,62.14353943,,69.50969,37.89961,138.3082616,40.23437119,
Malawi,MWI,2016,3.244130611,,35.64341354,,,137.1082246,38.20877838,
Malawi,MWI,2017,3.575054884,,,,,138.9619918,38.47988129,
Malawi,MWI,2018,3.3229599,,,58.67919,72.31002,136.8266886,38.45679092,
Malawi,MWI,2019,,,76.29367065,,,139.5659635,35.09989929,
Malaysia,MYS,2015,4.703810215,,99.48930359,11.521,,98.80010707,84.55256653,44.86950302
Malaysia,MYS,2016,4.345984459,95.0,96.04283142,11.61165,13.21255,99.92459754,83.69664001,46.40166855
Malaysia,MYS,2017,4.184885025,95.0,93.76273346,11.6556,12.2751,100.6633154,83.71385193,43.66804504
Malaysia,MYS,2018,4.131948471,95.0,92.40920258,,11.40208,100.9367213,79.6654892,45.27841568
Malaysia,MYS,2019,3.979539633,95.0,93.65409088,,,101.383614,80.59307861,43.19771576
Maldives,MDV,2015,4.622305393,,93.35391235,10.34037,,99.01308833,,
Maldives,MDV,2016,4.438735962,98.0,97.05724335,10.29657,,98.10444614,,
Maldives,MDV,2017,3.82268548,94.50550842,92.91558075,10.16278,,96.94364239,,34.77801895
Maldives,MDV,2018,3.856817722,,91.47878265,,,96.58923605,76.41825867,
Maldives,MDV,2019,4.123569489,98.21186066,91.75241852,,,97.12785002,70.76908112,51.36136246
Mali,MLI,2015,3.801520109,33.0,48.50984955,42.70695,19.19297,72.14444733,40.11573029,5.280960083
Mali,MLI,2016,3.094779968,,48.57241821,39.08605,19.4834,73.56410217,41.21068954,3.650790453
Mali,MLI,2017,3.789769888,,46.93080139,38.22009,17.43224,76.44680786,39.57368851,4.164893627
Mali,MLI,2018,3.55817008,35.0,,37.82669,,72.09474945,38.92816162,4.966517925
Mali,MLI,2019,3.555049896,,,,,,,4.734406471
Malta,MLT,2015,5.023980141,,98.23544312,13.49445,7.79572,100.3055115,95.15711975,46.94681931
Malta,MLT,2016,5.107659817,,98.25766754,13.02685,7.21022,99.94046021,94.97657013,48.12607956
Malta,MLT,2017,4.560790062,,99.48516846,12.93931,7.11247,99.60999298,103.1384125,52.8446312
Malta,MLT,2018,4.923611164,,100.4094391,,,99.59832764,104.6425095,56.81111145
Malta,MLT,2019,4.899350166,,98.28354645,,,98.17488861,104.5057297,58.53686905
Marshall Islands,MHL,2015,,,,,,109.8572769,88.45281219,
Marshall Islands,MHL,2016,,,98.40567017,,,107.4560165,93.14141083,
Marshall Islands,MHL,2019,9.920570374,,117.9664383,,,106.2729492,110.421463,41.47465134
Mauritania,MRT,2015,2.829566002,65.1120224,66.717659,35.81193,33.54677,96.38195038,31.06388092,5.870379925
Mauritania,MRT,2016,1.944059968,,,36.36696,26.36771,88.46540833,32.04801178,5.549109936
Mauritania,MRT,2017,,,64.44998169,36.35033,23.70599,87.74183655,31.62400055,5.143219948
Mauritania,MRT,2018,,,69.65589142,34.27814,25.9167,90.32539368,35.39036942,5.11879015
Mauritania,MRT,2019,1.82317996,,66.28121948,,,90.71903229,37.45048141,5.869890213
Mauritius,MUS,2015,4.758470058,93.0,96.08599091,18.82093,12.87505,97.32071686,93.96820068,37.76073837
Mauritius,MUS,2016,4.882070065,93.0,94.60578918,17.79444,,96.72160339,94.43624878,38.41077042
Mauritius,MUS,2017,4.87887001,,91.75839996,17.93769,12.65226,96.47863007,92.54032898,39.66188049
Mauritius,MUS,2018,4.674479961,,95.7337265,16.19841,10.9886,96.44940186,91.41713715,40.40781021
Mauritius,MUS,2019,4.541950226,,92.64660645,,,95.42308044,93.13549805,42.98786926
Mexico,MEX,2015,5.050879955,94.0,105.9928436,26.92701,16.08213,106.9634323,100.9822693,31.97186089
Mexico,MEX,2016,4.757959843,95.0,104.702179,26.74201,16.30684,106.3912201,102.8713684,38.58977127
Mexico,MEX,2017,4.397520065,95.0,104.3248596,26.55228,16.85759,105.7976074,105.1101837,40.33906937
Mexico,MEX,2018,4.139450073,95.0,102.3691177,,,105.1881638,105.964653,41.63827896
Mexico,MEX,2019,,,102.4726563,,,105.0950394,105.5156097,43.04413986
"Micronesia, Fed. Sts.",FSM,2015,13.64700031,,90.92395782,19.7106,,93.97005538,,
